Цифр. код,Букв. код,Единиц,Валюта,Курс
36,AUD,1,Австралийский доллар,558351
944,AZN,1,Азербайджанский манат,504132
51,AMD,100,Армянских драмов,220968
933,BYN,1,Белорусский рубль,274371
975,BGN,1,Болгарский лев,472763
986,BRL,1,Бразильский реал,151209
348,HUF,100,Венгерских форинтов,233592
410,KRW,1000,Вон Республики Корея,627443
704,VND,10000,Вьетнамских донгов,353529
344,HKD,1,Гонконгский доллар,109917
981,GEL,1,Грузинский лари,315860
208,DKK,1,Датская крона,123924
784,AED,1,Дирхам ОАЭ,233363
840,USD,1,Доллар США,857024
978,EUR,1,Евро,928291
818,EGP,10,Египетских фунтов,176014
356,INR,10,Индийских рупий,102346
360,IDR,10000,Индонезийских рупий,527627
398,KZT,100,Казахстанских тенге,180536
124,CAD,1,Канадский доллар,618969
634,QAR,1,Катарский риал,235446
417,KGS,10,Киргизских сомов,101990
156,CNY,1,Китайский юань,118307
498,MDL,10,Молдавских леев,483877
554,NZD,1,Новозеландский доллар,509458
934,TMT,1,Новый туркменский манат,244864
578,NOK,10,Норвежских крон,787163
985,PLN,1,Польский злотый,216027
946,RON,1,Румынский лей,186330
960,XDR,1,СДР (специальные права заимствования),1136148
941,RSD,100,Сербских динаров,790809
702,SGD,1,Сингапурский доллар,641245
972,TJS,10,Таджикских сомони,808025
764,THB,10,Таиландских батов,241606
949,TRY,10,Турецких лир,258857
860,UZS,10000,Узбекских сумов,681537
980,UAH,10,Украинских гривен,208324
826,GBP,1,Фунт стерлингов Соединенного королевства,1096391
203,CZK,10,Чешских крон,367553
752,SEK,10,Шведских крон,802502
756,CHF,1,Швейцарский франк,983164
710,ZAR,10,Южноафриканских рэндов,470719
392,JPY,100,Японских иен,573567
